127.0.0.1 - - [19/Dec/2024:23:45:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:45:53 +0530] "GET /banking/account/current-balance.jsp HTTP/1.1" 200 5363
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:45:53 +0530] "GET /banking/assets/style.css HTTP/1.1" 200 11897
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:45:53 +0530] "GET /banking/img/logo.png HTTP/1.1" 200 16006
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:45:53 +0530] "GET /banking/account/path/to/your/style.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:45:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:00 +0530] "GET /banking/home/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:00 +0530] "GET /banking/login.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:00 +0530] "GET /img/logo.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:06 +0530] "GET /banking/img/login-bg.jpg HTTP/1.1" 200 2677715
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:13 +0530] "GET /reset-password HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:19 +0530] "POST /banking/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:19 +0530] "GET /banking/home/home.jsp HTTP/1.1" 200 4255
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:19 +0530] "GET /banking/home/path/to/your/style.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:38 +0530] "GET /banking/account/index.jsp HTTP/1.1" 200 4584
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:38 +0530] "GET /banking/account/path/to/your/style.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:40 +0530] "GET /banking/account/current-balance.jsp HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:40 +0530] "GET /banking/account/path/to/your/style.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:44 +0530] "GET /banking/account/general.jsp HTTP/1.1" 200 4079
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:44 +0530] "GET /banking/account/path/to/your/style.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:45 +0530] "GET /banking/account/index.jsp HTTP/1.1" 200 4584
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:45 +0530] "GET /banking/account/path/to/your/style.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:47 +0530] "GET /banking/account/.jsp HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:50 +0530] "GET /banking/account/current-balance.jsp HTTP/1.1" 200 5468
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:46:50 +0530] "GET /banking/account/path/to/your/style.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:47:29 +0530] "GET /banking/bill/payee.jsp HTTP/1.1" 500 2312
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:53:34 +0530] "GET /banking/account/index.jsp HTTP/1.1" 200 4584
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:53:34 +0530] "GET /banking/account/path/to/your/style.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:53:36 +0530] "GET /banking/account/.jsp HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:53:40 +0530] "GET /banking/account/.jsp HTTP/1.1" 404 746
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:54:08 +0530] "GET /banking/account/index.jsp HTTP/1.1" 200 4603
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:54:08 +0530] "GET /banking/account/path/to/your/style.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:54:09 +0530] "GET /banking/account/account-Maintenance.jsp HTTP/1.1" 200 7990
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:54:09 +0530] "GET /banking/account/path/to/your/style.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:54:09 +0530] "GET /banking/account/assets/style.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:58:27 +0530] "GET /banking/account/account-Maintenance.jsp HTTP/1.1" 200 7990
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:58:27 +0530] "GET /banking/account/path/to/your/style.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:58:27 +0530] "GET /banking/account/assets/style.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [19/Dec/2024:23:58:41 +0530] "GET /banking/account/.jsp HTTP/1.1" 404 746
